frame_number,timestamp_ms,speed_center_of_mass,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back,landmark_nose_x,landmark_nose_y,landmark_nose_z,landmark_nose_visibility,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_shoulder_visibility,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_shoulder_visibility,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_elbow_visibility,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_elbow_visibility,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_left_wrist_visibility,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_wrist_visibility,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_hip_visibility,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_right_hip_visibility,landmark_left_knee_x,landmark_left_knee_y,landmark_left_knee_z,landmark_left_knee_visibility,landmark_right_knee_x,landmark_right_knee_y,landmark_right_knee_z,landmark_right_knee_visibility,landmark_left_ankle_x,landmark_left_ankle_y,landmark_left_ankle_z,landmark_left_ankle_visibility,landmark_right_ankle_x,landmark_right_ankle_y,landmark_right_ankle_z,landmark_right_ankle_visibility,landmark_left_heel_x,landmark_left_heel_y,landmark_left_heel_z,landmark_left_heel_visibility,landmark_right_heel_x,landmark_right_heel_y,landmark_right_heel_z,landmark_right_heel_visibility,assessment_id,test_type,score,compensations,tag_type,tag_level,tag_locations,tag_note
0,0.0,0.0,64.98179465853703,65.5931229954967,21.299171312161477,20.927030745998124,175.12219732606903,166.67546625091538,172.9633139173956,178.69341764888014,155.38330887630954,162.98267722645224,179.9994897118406,175.7321202832879,545.3954243659973,251.87822341918945,-0.2840256094932556,0.9999123811721802,692.2336864471436,443.07186126708984,0.00811290368437767,0.9997714161872864,374.67612504959106,439.3729591369629,-0.0018491268856450915,0.9998145699501038,766.5693283081055,692.9496002197266,-0.018081944435834885,0.9645670056343079,322.4477541446686,708.8327980041504,-0.06675086170434952,0.9895036220550537,626.45592212677,672.1317672729492,-0.21738147735595703,0.8823407888412476,490.246707201004,668.741455078125,-0.2343621551990509,0.9615452289581299,651.6366505622864,933.5027503967285,-0.007601316552609205,0.9991490840911865,460.6109154224396,928.8498687744141,0.007218096870929003,0.9987962245941162,652.5193977355957,1280.5327606201172,-0.034026384353637695,0.9898423552513123,440.0372350215912,1278.556022644043,0.006956370081752539,0.9903282523155212,692.4203681945801,1597.1622848510742,0.26212891936302185,0.9820483326911926,413.93980264663696,1597.7939987182617,0.2358577996492386,0.971487283706665,683.6566257476807,1625.0689315795898,0.27563923597335815,0.708424985408783,419.6554183959961,1623.9121627807617,0.2482081949710846,0.6684879064559937,,,,,,,,
1,36.5967365967366,135.63035051858142,61.83654959100406,65.41764858146382,21.465899791561792,21.381076304819377,175.10884795037603,166.9184126346846,173.24090814801286,178.08388881537374,153.97853303669243,168.6427291620503,179.99948728564445,175.86631275484453,548.795735836029,251.6774082183838,-0.26915204524993896,0.9999145865440369,691.0380220413208,435.8645439147949,0.027489082887768745,0.9997798204421997,374.96689796447754,437.7352523803711,0.002036387799307704,0.9998162388801575,767.2292804718018,687.2075271606445,-0.014162213541567326,0.9658021926879883,320.94754099845886,705.4331016540527,-0.06494242697954178,0.9898010492324829,626.4910054206848,659.0865898132324,-0.22432135045528412,0.8876215815544128,492.65886068344116,665.2416801452637,-0.2203666716814041,0.9626251459121704,651.5723419189453,926.1709785461426,-0.007323727943003178,0.999173104763031,460.86403012275696,926.2561798095703,0.00688096322119236,0.9988290071487427,653.357663154602,1279.8368453979492,-0.034327998757362366,0.9901933670043945,441.50259017944336,1282.7008438110352,0.004824554082006216,0.9905089139938354,692.4868655204773,1596.3118743896484,0.255018025636673,0.9827570915222168,413.47023367881775,1601.4933013916016,0.22638311982154846,0.9723880887031555,682.7998852729797,1624.4878005981445,0.26709267497062683,0.7132312059402466,416.4995312690735,1628.792495727539,0.23633529245853424,0.6721856594085693,,,,,,,,
2,73.1934731934732,107.66574313503361,60.74458793651981,65.57711507298922,21.51180081781965,21.867628062108277,175.00048808759288,167.05050593781345,173.43091044247103,177.72228142650013,152.70409476659424,169.09482503418712,179.99948632050314,175.9768059363185,549.6930313110352,250.757417678833,-0.2592116892337799,0.9999189376831055,690.8708453178406,434.30583000183105,0.03707359731197357,0.9997889995574951,375.4011905193329,437.12342262268066,0.005107520148158073,0.9998229146003723,767.4947547912598,686.6031074523926,0.010304226540029049,0.9663150310516357,319.1257846355438,703.8079833984375,-0.047944407910108566,0.9901862740516663,632.0342946052551,656.9153022766113,-0.22003532946109772,0.8917920589447021,492.7714169025421,665.2887153625488,-0.19607193768024445,0.9643019437789917,651.4587235450745,922.2338104248047,-0.00659652566537261,0.9992039203643799,460.8927083015442,924.3582916259766,0.006068619899451733,0.9988688826560974,653.8465762138367,1280.8475875854492,-0.03469051793217659,0.9905463457107544,441.920725107193,1286.664047241211,0.005369250196963549,0.9906765222549438,692.4385857582092,1597.4108505249023,0.24817052483558655,0.9834899306297302,412.7775800228119,1602.2999954223633,0.22670459747314453,0.9732142686843872,681.6565561294556,1626.4877700805664,0.25952640175819397,0.7189133167266846,415.53654313087463,1630.2875518798828,0.23704873025417328,0.6762813925743103,,,,,,,,
3,109.79020979020979,74.3357825344926,60.79378055117263,65.55220436085253,21.555982145848777,22.27052317387991,174.9986988447106,166.9138929246122,173.58055546677625,177.23496250236275,154.29515197586636,171.39235382320408,179.99948615946784,175.90967269447125,550.8441495895386,250.71839332580566,-0.25030717253685,0.9999234676361084,691.2178802490234,433.8424301147461,0.04636829346418381,0.9997999668121338,375.84768176078796,436.72396659851074,0.00875084474682808,0.9998294115066528,768.3122277259827,686.6782379150391,0.024275949224829674,0.9677481651306152,317.7501654624939,703.5565567016602,-0.02174278162419796,0.9905162453651428,634.2533612251282,657.5741958618164,-0.2050938904285431,0.8979906439781189,493.1545329093933,665.7465934753418,-0.1439790427684784,0.9656568765640259,651.9431304931641,922.1371078491211,-0.005836037453263998,0.9992254972457886,461.64629101753235,923.9480781555176,0.005268567241728306,0.9988937377929688,654.473762512207,1282.134132385254,-0.028860436752438545,0.9906229376792908,441.9202423095703,1288.3089065551758,0.0072120376862585545,0.9905171990394592,692.416570186615,1599.2866516113281,0.21896275877952576,0.9836490154266357,409.4228768348694,1604.7271728515625,0.20956018567085266,0.972935140132904,681.433117389679,1631.3984298706055,0.22576996684074402,0.7207018136978149,410.85047721862793,1634.516372680664,0.21674659848213196,0.6746000051498413,,,,,,,,
4,146.3869463869464,27.85580995656982,60.86690679669562,65.65130499147195,21.544313192808218,22.373466181571814,174.97204462220387,166.91684699453396,173.7583999381186,177.4427915665102,155.56178087591812,171.20901923351144,179.99948605166625,175.9150176449194,551.3142657279968,250.32322883605957,-0.2537682354450226,0.9999273419380188,691.3838982582092,434.01646614074707,0.04210009053349495,0.999809980392456,376.07324481010437,436.08312606811523,0.008444349281489849,0.9998332858085632,768.459255695343,686.7623519897461,0.018320851027965546,0.9686853885650635,317.24239110946655,703.5986137390137,-0.029095325618982315,0.9907151460647583,634.0834164619446,657.773323059082,-0.20525237917900085,0.9022319912910461,494.6718692779541,666.0599327087402,-0.16428329050540924,0.9665623307228088,652.224440574646,922.3085403442383,-0.0060167377814650536,0.9992547035217285,461.89013600349426,924.2367553710938,0.0054222773760557175,0.9989240169525146,655.0181651115417,1283.7682342529297,-0.03626076132059097,0.9910176992416382,441.94148540496826,1291.0961151123047,0.007453248370438814,0.9907293319702148,692.4257755279541,1602.952537536621,0.22500774264335632,0.9844508767127991,410.6136167049408,1606.6489791870117,0.21182553470134735,0.973926842212677,681.57306432724,1636.8486785888672,0.23315386474132538,0.7274758815765381,412.3231065273285,1637.9982376098633,0.21831874549388885,0.6808691620826721,,,,,,,,
5,182.98368298368297,14.503380382321103,61.04863160193927,65.73844305131239,21.47413367104186,22.429022609960974,175.06792160636456,166.87578545941687,173.73753898599847,177.59366213427052,157.51780754807476,170.90742676871068,179.99948613109683,175.83939451516582,551.6987657546997,250.31956672668457,-0.25584718585014343,0.9999298453330994,691.4514255523682,434.10444259643555,0.040635984390974045,0.9998159408569336,376.0899496078491,435.7350254058838,0.008028010837733746,0.9998369812965393,768.5306453704834,686.9333267211914,0.014765058644115925,0.9689512252807617,316.9505560398102,703.6420440673828,-0.029592113569378853,0.9908669590950012,633.9810633659363,658.3422088623047,-0.20699644088745117,0.9042719602584839,495.70730924606323,666.2542533874512,-0.1743859201669693,0.9674372673034668,652.8075313568115,923.0060577392578,-0.006342246197164059,0.9992663264274597,462.24106550216675,925.279369354248,0.0057365368120372295,0.9989405870437622,655.4098749160767,1284.2993545532227,-0.03621169179677963,0.991342306137085,442.0803380012512,1292.3900985717773,0.007603763602674007,0.9909127354621887,692.7404952049255,1603.2737731933594,0.22818714380264282,0.9850723147392273,411.50511860847473,1607.0640563964844,0.21371684968471527,0.9747142791748047,683.0745005607605,1637.416648864746,0.23636260628700256,0.731544017791748,413.3993911743164,1637.6594924926758,0.22130917012691498,0.6861948370933533,,,,,,,,
6,219.58041958041957,17.677977230491017,61.26119968318837,65.78947750082129,21.393471106020087,22.513091038095414,175.1666321388192,166.87999818450896,173.7218145158551,177.3541287803755,159.66960379339912,170.4543994112244,179.99948612896904,175.78804074697365,552.1310949325562,250.38416862487793,-0.25681641697883606,0.9999316334724426,691.456446647644,433.9602470397949,0.04121222719550133,0.9998197555541992,376.0948097705841,435.40374755859375,0.007160315755754709,0.9998407959938049,768.5337352752686,687.0161247253418,0.013215644285082817,0.9689620733261108,316.71794414520264,703.663158416748,-0.0348166860640049,0.9911048412322998,633.9322686195374,658.8993644714355,-0.20768322050571442,0.9054965376853943,496.71300888061523,666.2902450561523,-0.17987076938152313,0.9685256481170654,653.3563756942749,923.1465911865234,-0.006408986635506153,0.9992707371711731,462.85154700279236,925.8041381835938,0.005803215783089399,0.9989517331123352,655.7484126091003,1283.902931213379,-0.03452400863170624,0.9915980696678162,443.0914771556854,1292.1306610107422,0.0076001607812941074,0.99106365442276,693.0108618736267,1603.1181335449219,0.23082338273525238,0.9855505228042603,411.51615858078003,1606.615104675293,0.2151949256658554,0.9752379059791565,684.7462677955627,1637.0922088623047,0.23866473138332367,0.7351025938987732,413.4842026233673,1636.1509323120117,0.22353731095790863,0.6897832751274109,,,,,,,,
7,256.1771561771562,21.00048080075349,61.65408118097114,65.7817732716255,21.26112503614641,22.633838338212584,175.2136184810926,166.86642179744516,173.3071638180301,177.0384114219277,161.39648282549481,171.17380185235183,179.9994860679769,175.75463508274905,552.8181481361389,250.48253059387207,-0.25472667813301086,0.9999324083328247,691.4208483695984,433.58880043029785,0.04741349071264267,0.9998182058334351,376.098028421402,435.18702507019043,0.0068224756978452206,0.9998455047607422,768.3268404006958,687.0082855224609,0.022717200219631195,0.9681012034416199,316.53258204460144,703.6717987060547,-0.038475193083286285,0.9913958311080933,633.8219976425171,659.7302627563477,-0.19766201078891754,0.9046485424041748,496.96094155311584,666.2762832641602,-0.18278343975543976,0.9697823524475098,653.9119148254395,923.3524131774902,-0.005990745034068823,0.9992585778236389,463.76670598983765,926.1189079284668,0.005415116902440786,0.9989577531814575,656.4644980430603,1282.7873611450195,-0.01314536016434431,0.9917294383049011,444.5321774482727,1292.0784759521484,0.007880441844463348,0.9912205934524536,696.3592886924744,1603.0944442749023,0.2332688719034195,0.9857748746871948,411.78127884864807,1605.2471923828125,0.20879197120666504,0.9754919409751892,689.490237236023,1636.845474243164,0.23928521573543549,0.73802649974823,413.22880268096924,1634.2631149291992,0.21698786318302155,0.6917808055877686,,,,,,,,
8,292.7738927738928,19.4396521166301,62.60404866214094,65.77810588736703,21.029024638795022,22.734800413920723,175.19205095446898,166.8675325432574,173.04272823129438,176.89055225912372,157.93825379968885,172.26819794599325,179.99948607506866,175.76628031212968,553.8420653343201,250.54418563842773,-0.2550898790359497,0.9999338388442993,691.4229083061218,433.4189701080322,0.044499967247247696,0.999818742275238,376.09471321105957,435.0563907623291,-0.0011930192122235894,0.999849796295166,767.5561022758484,687.0577239990234,0.023596908897161484,0.9676777124404907,316.21718645095825,703.6915969848633,-0.04520650580525398,0.9917358160018921,632.5269412994385,661.5727615356445,-0.17868642508983612,0.9040936827659607,497.50791907310486,666.2921333312988,-0.18431803584098816,0.9710081815719604,654.3535780906677,924.001293182373,-0.005985766649246216,0.9992729425430298,464.2684292793274,926.6189575195312,0.00541254598647356,0.9989798069000244,657.4018335342407,1282.7812957763672,-0.011937200091779232,0.9918707013130188,445.35396337509155,1292.0163345336914,0.027564916759729385,0.9913854002952576,699.8032450675964,1607.3002624511719,0.21518802642822266,0.9861499667167664,412.38529086112976,1601.9110107421875,0.2181171327829361,0.9757949709892273,690.431113243103,1643.2349395751953,0.21960672736167908,0.7438973784446716,413.2811379432678,1632.839126586914,0.22569070756435394,0.6948932409286499,,,,,,,,
9,329.3706293706294,20.47279116239261,63.21130107093534,65.78565403285839,20.929037834251858,22.837227349494686,175.1350876674113,166.9387482244771,173.2167980655751,176.77364928668675,152.89093674026623,172.32197531319886,179.99948607223192,175.8331121435116,554.9944710731506,250.58283805847168,-0.25621482729911804,0.9999357461929321,691.4232301712036,433.4041213989258,0.033885106444358826,0.9998217821121216,376.09580755233765,434.8927402496338,-0.01291746087372303,0.9998537302017212,767.1442437171936,687.099494934082,0.021617721766233444,0.9677103161811829,315.57052731513977,703.6965179443359,-0.05707460269331932,0.9920414090156555,632.192587852478,662.8912925720215,-0.17874537408351898,0.9049695134162903,497.67149090766907,666.5650749206543,-0.18527041375637054,0.9720390439033508,654.3527412414551,925.2619743347168,-0.005801336374133825,0.9992862343788147,464.2640519142151,927.484302520752,0.0052379281260073185,0.9989985227584839,657.8192925453186,1283.2670974731445,-0.010640212334692478,0.9919958114624023,445.7216942310333,1291.8267059326172,0.028208862990140915,0.99152672290802,699.5371270179749,1607.2218704223633,0.21840175986289978,0.9864823222160339,412.4688792228699,1600.9501647949219,0.21848583221435547,0.9760680794715881,686.7977070808411,1642.6630783081055,0.22396358847618103,0.7502301335334778,413.3245253562927,1632.8130340576172,0.2263142615556717,0.6985604763031006,,,,,,,,
